timestamp,bpm,quality,source,restorative
2023-08-13T01:56:29.000Z,60,bad,awake,False
2023-08-13T02:01:24.000Z,68,good,awake,False
2023-08-13T02:01:25.000Z,80,good,awake,False
2023-08-13T02:02:01.000Z,86,good,awake,False
2023-08-13T02:07:07.000Z,96,good,awake,False
2023-08-13T02:07:13.000Z,91,good,awake,False
2023-08-13T02:07:16.000Z,92,good,awake,False
2023-08-13T02:11:55.000Z,92,good,awake,False
2023-08-13T02:11:58.000Z,99,good,awake,False
2023-08-13T02:12:27.000Z,94,good,awake,False
2023-08-13T02:17:06.000Z,86,good,awake,False
2023-08-13T02:17:17.000Z,88,good,awake,False
2023-08-13T02:17:29.000Z,92,good,awake,False
2023-08-13T02:22:48.000Z,74,good,awake,False
2023-08-13T02:22:49.000Z,79,good,awake,False
2023-08-13T02:33:22.000Z,79,good,awake,False
2023-08-13T02:33:27.000Z,83,good,awake,False
2023-08-13T02:33:45.000Z,81,good,awake,False
2023-08-13T02:42:21.000Z,81,good,awake,False
2023-08-13T02:42:22.000Z,77,good,awake,False
2023-08-13T02:42:29.000Z,84,good,awake,False
2023-08-13T02:47:09.000Z,73,average,awake,False
2023-08-13T02:47:10.000Z,80,average,awake,False
2023-08-13T02:47:41.000Z,118,average,awake,False
2023-08-13T02:52:50.000Z,80,average,awake,False
2023-08-13T02:52:58.000Z,81,average,awake,False
2023-08-13T02:57:37.000Z,82,good,awake,False
2023-08-13T02:57:38.000Z,88,good,awake,False
2023-08-13T02:58:10.000Z,91,good,awake,False
2023-08-13T03:19:02.000Z,107,bad,awake,False
2023-08-13T03:19:07.000Z,99,bad,awake,False
2023-08-13T03:26:48.000Z,100,good,awake,False
2023-08-13T03:26:51.000Z,105,good,awake,False
2023-08-13T03:26:52.000Z,97,good,awake,False
2023-08-13T03:46:21.000Z,98,bad,awake,False
2023-08-13T03:46:24.000Z,101,bad,awake,False
2023-08-13T03:46:32.000Z,108,bad,awake,False
2023-08-13T03:51:18.000Z,72,bad,awake,False
2023-08-13T03:51:20.000Z,81,bad,awake,False
2023-08-13T03:51:50.000Z,86,bad,awake,False
2023-08-13T04:07:26.000Z,98,good,awake,False
2023-08-13T04:07:27.000Z,90,good,awake,False
2023-08-13T04:07:31.000Z,93,good,awake,False
2023-08-13T04:12:48.000Z,83,good,awake,False
2023-08-13T04:12:50.000Z,80,good,awake,False
2023-08-13T04:12:57.000Z,81,good,awake,False
2023-08-13T04:17:37.000Z,89,good,awake,False
2023-08-13T04:17:48.000Z,91,good,awake,False
2023-08-13T04:18:04.000Z,94,good,awake,False
2023-08-13T04:23:12.000Z,90,good,awake,False
2023-08-13T04:23:13.000Z,85,good,awake,False
2023-08-13T04:23:23.000Z,82,good,awake,False
2023-08-13T04:28:00.000Z,90,good,awake,False
2023-08-13T04:28:40.000Z,80,good,awake,False
2023-08-13T04:28:41.000Z,81,good,awake,False
2023-08-13T04:33:32.000Z,85,good,awake,False
2023-08-13T04:33:44.000Z,87,good,awake,False
2023-08-13T04:33:52.000Z,82,good,awake,False
2023-08-13T04:38:41.000Z,98,good,awake,False
2023-08-13T04:38:48.000Z,101,good,awake,False
2023-08-13T04:38:57.000Z,96,good,awake,False
2023-08-13T04:43:51.000Z,88,average,awake,False
2023-08-13T04:44:04.000Z,101,average,awake,False
2023-08-13T04:44:11.000Z,111,average,awake,False
2023-08-13T14:29:56.000Z,81,average,awake,False
2023-08-13T14:30:08.000Z,87,average,awake,False
2023-08-13T14:30:09.000Z,77,average,awake,False
2023-08-13T14:40:09.000Z,70,average,awake,False
2023-08-13T14:40:10.000Z,75,average,awake,False
2023-08-13T14:40:15.000Z,84,average,awake,False
2023-08-13T14:50:15.000Z,74,good,awake,False
2023-08-13T14:50:16.000Z,77,good,awake,False
